feature_id,module,priority,release_scope,target_summary,current_status,current_evidence,test_evidence,current_gap,decision_refs,delivery_ref_ids,notes
"FR-CFG-01","Company Configuration","Must","MVP-Must","Cấu hình công ty, múi giờ, ngày sản xuất, lịch ca và thuật ngữ mà không sửa lõi.","Partial","apps/backend/src/main/java/com/factory/management/modules/masterdata/entity/Shift.java;apps/backend/src/main/resources/application.yaml","No feature acceptance test found","Có danh mục ca và timezone JVM nhưng chưa có company settings, production-day rule hoặc thuật ngữ versioned.","TBD-05;TBD-06","FP-SLICE-002","Target cần company context và effective date."
"FR-CFG-02","Company Configuration","Must","MVP-Must","Mapping field nguồn theo công ty hoặc template version.","Missing","apps/backend/src/main/java/com/factory/management/modules/production/service/StagingReportExcelService.java","No feature acceptance test found","Excel dùng header và sheet cố định; không có input template hoặc mapping configuration.","TBD-08","FP-SLICE-008","File mẫu thật và mapping vẫn là blocker nghiệp vụ."
"FR-CFG-03","Company Configuration","Must","MVP-Must","Cấu hình validation thresholds, machine states, downtime reasons và KPI bật tắt.","Partial","apps/backend/src/main/java/com/factory/management/modules/masterdata/controller/DowntimeReasonController.java;apps/backend/src/main/java/com/factory/management/modules/maintenance/entity/MachineOperationalStatus.java","No feature acceptance test found","Có danh mục nguyên nhân và trạng thái máy; chưa có validation rule, threshold hoặc KPI enablement theo company/scope.","TBD-11","FP-SLICE-003;FP-SLICE-005;FP-SLICE-007","Backlog phải phủ taxonomy trạng thái máy, validation thresholds và KPI enablement; không suy ra cấu hình động từ enum hoặc CRUD danh mục."
"FR-CFG-04","Company Configuration","Must","MVP-Must","MVP single-tenant nhưng mọi dữ liệu và cấu hình target có companyId.","Missing","apps/backend/src/main/java/com/factory/management/modules/masterdata/entity/Factory.java;apps/backend/src/main/java/com/factory/management/modules/auth/entity/User.java","No feature acceptance test found","Không tìm thấy company entity hoặc companyId xuyên suốt model target.","TBD-03","FP-SLICE-001","Single deployment hiện tại không thay thế company context trong target schema."
"FR-CFG-05","Company Configuration","Must","MVP-Must","Ngày sản xuất, lịch ca và ngày hiệu lực của ca được cấu hình.","Blocked","apps/backend/src/main/java/com/factory/management/modules/masterdata/entity/Shift.java","No feature acceptance test found","Shift có giờ bắt đầu và kết thúc nhưng chưa có production calendar, effective interval hoặc night-shift rule được duyệt.","TBD-05;TBD-06","FP-SLICE-002","Không code productionDate theo giả định trước khi gate được chốt."
"FR-NAV-01","Navigation","Must","MVP-Must","Navigation dùng nhãn module chuẩn PRD 4.4, không đặt theo role.","Missing","apps/frontend/src/shared/navigation/roleNavigation.ts","No navigation acceptance test found","Navigation Current dùng label khác nhau theo tám role và chưa có module catalog chuẩn.","","FP-SLICE-001","Đổi tài liệu không làm code Current đạt acceptance."
"FR-NAV-02","Navigation","Must","MVP-Must","Không có tab hoặc security role Ca trưởng/Tổ trưởng; đây là chức danh nhân sự có hiệu lực.","Missing","apps/backend/src/main/java/com/factory/management/modules/auth/entity/Role.java;apps/frontend/src/shared/navigation/roleNavigation.ts","No role-position migration test found","Current có TEAM_LEADER role/workspace riêng và chưa có employee-position assignment target.","","FP-SLICE-001;FP-SLICE-003","Migration không được nâng hoặc mất quyền ngầm."
"FR-NAV-03","Navigation","Must","MVP-Must","Tab chỉ hiện khi capability, action và data scope cho phép; API vẫn kiểm quyền server-side.","Partial","apps/frontend/src/shared/navigation/roleNavigation.ts;apps/backend/src/main/java/com/factory/management/common/config/SecurityConfig.java","No module-capability permission test found","UI có menu theo role và backend có guard rời rạc nhưng chưa có capability catalog; nhiều module ngoài release vẫn hiện theo role.","","FP-SLICE-001","Ẩn tab không thay authorization."
"FR-MDM-01","Master Data","Must","MVP-Must","Quản lý factory, line, group, machine, shift, downtime reason và standard; dữ liệu lịch sử chỉ deactivate.","Partial","apps/backend/src/main/java/com/factory/management/modules/masterdata/controller/FactoryController.java;apps/backend/src/main/java/com/factory/management/modules/masterdata/controller/MachineController.java;apps/backend/src/main/java/com/factory/management/modules/masterdata/controller/ShiftController.java","No feature acceptance test found","CRUD và soft deactivate có cho nhiều danh mục; thiếu machine standard và bảo vệ lịch sử bằng contract đầy đủ.","","FP-SLICE-003","Master GET hiện chủ yếu chỉ yêu cầu authenticated, chưa chứng minh data scope."
"FR-MDM-02","Master Data","Must","MVP-Must","Thay đổi danh mục quan trọng có effective dating và không đổi báo cáo lịch sử.","Missing","apps/backend/src/main/java/com/factory/management/modules/masterdata/entity/EmployeeAssignment.java;apps/backend/src/main/java/com/factory/management/modules/masterdata/entity/Machine.java","No feature acceptance test found","Effective interval chỉ xuất hiện ở assignment nhân sự ngoài lõi; machine, line, standard và downtime taxonomy chưa versioned.","","FP-SLICE-003","Cần test machine transfer giữ nguyên báo cáo quá khứ."
"FR-MDM-03","Master Data","Should","Stretch","Import danh mục ban đầu có row-level result.","Out of scope","apps/backend/src/main/java/com/factory/management/modules/production/controller/StagingReportExcelController.java","Not required for MVP-Must release","Không có import master data; import hiện tại dành cho staging vận hành.","","FP-SLICE-101","Chỉ bắt đầu sau toàn bộ Must hoặc khi Product approver đổi scope."
"FR-MDM-04","Master Data","Must","MVP-Must","Cấu hình phạm vi phụ trách và chặn đọc ghi ngoài scope.","Partial","apps/backend/src/main/java/com/factory/management/modules/auth/entity/UserDataScope.java;apps/backend/src/main/java/com/factory/management/common/security/AuthorizationScope.java;apps/backend/src/main/java/com/factory/management/modules/production/service/ProductionReportStagingServiceImpl.java","No permission acceptance test found","Role/scope và nhiều guard đã có; thiếu role target, company scope và staging update có thể đổi sang team ngoài scope sau kiểm tra record cũ.","","FP-SLICE-001","Gap bảo mật phải được sửa bằng server-side target-scope validation."
"FR-MDM-05","Master Data","Must","MVP-Must","Danh mục sản phẩm phục vụ import, KPI và filter; hỗ trợ N/A và ẩn filter khi product dimension chưa đáng tin.","Partial","apps/backend/src/main/java/com/factory/management/modules/masterdata/controller/ProductController.java;apps/backend/src/main/java/com/factory/management/modules/masterdata/entity/Product.java;apps/backend/src/main/java/com/factory/management/modules/production/entity/ProductionReport.java","No feature acceptance test found","Product CRUD có nhưng production report/staging, import identity và dashboard filter chưa gắn product.","","FP-SLICE-003;FP-SLICE-012","Product dimension chỉ được bật cho filter khi đạt tiêu chí reliability đã cấu hình và kiểm tra."
"FR-MDM-06","Master Data","Must","MVP-Must","Chức danh/phân công Ca trưởng/Tổ trưởng có effective date và không cấp quyền tự động.","Partial","apps/backend/src/main/java/com/factory/management/modules/masterdata/entity/EmployeeAssignment.java;apps/backend/src/main/java/com/factory/management/modules/masterdata/entity/Team.java","No effective-position acceptance test found","Current có assignment và team leader relation nhưng TEAM_LEADER vẫn là security role; chưa có position history contract tách quyền.","","FP-SLICE-001;FP-SLICE-003","Báo cáo lịch sử phải giữ đúng chức danh có hiệu lực."
"FR-ING-01","Ingestion","Must","MVP-Must","Nhân viên vận hành nhập dữ liệu theo production date, shift, group, machine và trạng thái trong scope.","Partial","apps/backend/src/main/java/com/factory/management/modules/production/controller/ProductionReportStagingController.java;apps/frontend/src/features/production-reports/pages/TeamLeaderReportPage.tsx","No E2E acceptance test found","Form/API staging có thật nhưng còn dùng TEAM_LEADER Current; thiếu product, company context, explicit operating status, production-day rule và provenance chuẩn.","TBD-04;TBD-05","FP-SLICE-004","Current path phù hợp demo nhập báo cáo ca, chưa đạt role/canonical contract mới."
"FR-ING-02","Ingestion","Must","MVP-Must","Upload file có 95 dòng hợp lệ và 5 lỗi vẫn đưa 95 dòng vào staging, trả và tải lỗi.","Partial","apps/backend/src/main/java/com/factory/management/modules/production/controller/StagingReportExcelController.java;apps/backend/src/main/java/com/factory/management/modules/production/service/StagingReportExcelService.java;apps/frontend/src/features/production-reports/components/StagingExcelImporter.tsx","No partial-import acceptance test found","Có template, preview và danh sách lỗi nhưng chỉ cần một lỗi là toàn workbook không lưu; không có downloadable error batch.","TBD-08","FP-SLICE-008","Current import chạy đồng bộ và trái acceptance partial success."
"FR-ING-03","Ingestion","Must","MVP-Must","Lưu provenance cho từng giá trị: manual, file, OCR, backfill hoặc correction.","Missing","apps/backend/src/main/java/com/factory/management/modules/production/entity/ProductionReport.java;apps/backend/src/main/java/com/factory/management/modules/production/entity/ProductionReportStaging.java","No provenance acceptance test found","Official chỉ link source staging; không có source batch/record, source type, template version hoặc value-level provenance.","","FP-SLICE-004;FP-SLICE-008;FP-SLICE-011","Correction provenance thuộc FP-SLICE-011; OCR provenance chỉ áp dụng nếu capability OCR bật."
"FR-ING-04","Ingestion","Should","Stretch","OCR phiếu giấy là evidence đối soát thứ yếu, có confidence/model/template version và xác nhận trước khi sử dụng.","Out of scope","","Not required while OCR capability is disabled","OCR chưa bật; không có extraction/evidence/review flow và không được dùng để chặn Excel–web reconciliation.","TBD-22;ADR-06","FP-CAP-OCR","OCR không tạo official record trực tiếp."
"FR-ING-05","Ingestion","Must","MVP-Must","Upload lại file đã sửa không tạo trùng theo logical identity hoặc matching rule từng dòng.","Blocked","apps/backend/src/main/java/com/factory/management/modules/production/entity/ProductionReportStaging.java;apps/backend/src/main/java/com/factory/management/modules/production/service/StagingReportExcelService.java","No row-level idempotency acceptance test found","Có unique key reportDate-shift-team-machine và update Draft nhưng thiếu product, source dedup key, batch idempotency và conflict khi bản cũ sửa tay.","TBD-07;TBD-09","FP-SLICE-008","Identity cuối cùng chưa được duyệt nên chưa thể chốt acceptance."
